Date,Open,High,Low,Close,Volume,Change
2016-06-30,23380,23429,23251,23431,4397380,0.007178473
2016-07-29,24139,24283,24092,24128,2875706,-0.000828226
2016-08-31,24669,24674,24524,24580,2568596,-0.003688541
2016-09-30,24774,24802,24640,24656,3351934,-0.010911425
2016-10-31,24477,24587,24424,24526,3072318,-0.002034505
2016-11-30,24293,24462,24283,24411,3691448,0.004898732
2016-12-30,25244,25298,25205,25291,6260945,0.000553863
2017-01-31,26229,26268,26146,26170,3256829,-0.005434576
2017-02-28,26268,26340,26234,26290,3112811,0.001790954
2017-03-31,27502,27526,27406,27419,4240701,-0.001929237
2017-04-28,28080,28189,28042,28075,12038877,0.002105939
2017-05-31,29800,30010,29766,29871,8540311,0.000167414
2017-06-30,30488,30592,30460,30594,10200611,-0.003030599
2017-07-31,30681,30869,30667,30821,11381687,0
2017-08-31,30393,30427,30120,30184,7255256,-0.006157189
2017-09-29,30829,31055,30829,31056,9891922,0.00775546
2017-10-31,32407,32809,32358,32727,18472117,0.009967905
2017-11-30,32221,32333,31873,31903,7858593,-0.016341381
2017-12-29,31760,32177,31755,32144,7560958,0.012505119
2018-01-31,32913,33535,32913,33051,18955268,0.000726678
2018-02-28,31323,31476,31034,31075,7129364,-0.011389304
2018-03-30,31491,31569,31338,31340,8620284,0.00252711
2018-04-30,32016,32135,31971,32131,4494562,0.006547209
2018-05-31,30957,31006,30812,30937,18580502,0.003991692
2018-06-29,29857,29962,29539,29888,14304926,0.002145923
2018-07-31,29683,29723,29589,29714,5386124,0.001347981
2018-08-31,29619,29883,29564,29868,4563537,0.004000134
2018-09-28,30262,30262,30017,30033,6300176,-0.006253722
2018-10-31,26345,26425,26130,26390,5778168,0.004567948
2018-11-30,27480,27535,27100,27160,5378880,-0.009301477
2018-12-31,26535,26700,26535,26580,4337356,0.004155648
2019-01-31,26005,26250,25935,26215,4733313,0.007687872
