,Symbol,Name,Sector,Industry
637,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","백시멘트,타일시멘트,알루미나시멘트,용융알루미나,급결제,필터프레스,유니필터제조,도매"
638,011330,유니켐,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대"
639,001200,유진증권,금융 지원 서비스업,"유가증권 매매,중개,인수"
640,003460,유화증권,금융 지원 서비스업,증권업
641,003120,일성신약,의약품 제조업,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매"
642,020760,일진디스플,반도체 제조업,"박막액정표시장치(TFT-LCD) 패널,LT(리튬탄탈에이트)웨이퍼,분말야금제품(초고압용공구),보석다이아몬드 제조,판매/종합건설"
643,063160,종근당바이오,의약품 제조업,"의약품,원료의약품 제조"
644,010640,진양폴리우레탄,기초 화학물질 제조업,"폴리우레탄,폴리우레탄스폰지 제조,판매"
645,051630,진양화학,플라스틱제품 제조업,"레쟈,바닥재 제조"
646,002780,진흥기업,토목 건설업,"아파트건설,토목공사,건축공사,국내도급공사"
647,044820,코스맥스비티아이,기타 금융업,"화장품,의약부외품 제조,도매"
648,005070,코스모신소재,기타 화학제품 제조업,"이차전지양극활물질,기능성필름"
649,007980,태평양물산,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역"
650,078000,텔코웨어,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역"
651,004870,티웨이홀딩스,반도체 제조업,"레미콘,콘크리트파일,완구 제조/미니어쳐테마파크 운영"
652,016800,퍼시스,가구 제조업,"사무용 가구,의자,책상,캐비넷 제조"
653,005810,풍산홀딩스,기타 금융업,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역"
654,099340,하나니켈1호,신탁업 및 집합투자업,투자신탁
655,071090,하이스틸,1차 철강 제조업,"강관 제조,도매"
656,005430,한국공항,기타 운송관련 서비스업,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업"
657,004090,한국석유공업,기타 비금속 광물제품 제조업,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대"
658,002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매"
659,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs"
660,025890,한국주강,특수 목적용 기계 제조업,"주강,주물 제조,도매"
