Date,Open,High,Low,Close,Volume,Change
2012-07-27,94701,94701,94203,94231,4861,-0.005666469694411647
2012-07-30,93703,94142,93703,94082,238,-0.0015812206174189436
2012-07-31,94173,94235,93795,94073,2363,-9.566123169146845e-05
2012-08-01,94125,94325,93956,93960,682,-0.0012011948167912623
2012-08-02,93956,94097,93956,94100,122,0.0014899957428693433
2012-08-03,94638,94708,94638,94711,29,0.006493092454835203
2012-08-06,94059,94767,94059,94768,836,0.0006018308327437882
2012-08-07,94665,94796,94665,94799,2505,0.00032711463785251027
2012-08-08,94686,94686,94609,94690,1687,-0.001149801158240038
2012-08-09,94686,95090,94480,94636,758,-0.0005702819727532171
2012-08-10,94568,94767,94529,94746,644,0.001162348366372301
2012-08-13,94832,94850,94612,94632,291,-0.0012032170223544858
2012-08-14,94506,94585,94335,94351,490,-0.0029693972440612004
2012-08-16,94181,94181,93666,93682,979,-0.007090544880287486
2012-08-17,93649,93952,93649,93885,301,0.0021669050618047248
2012-08-20,93724,93913,93724,93835,410,-0.0005325664376630845
2012-08-21,93816,94110,93816,94114,706,0.0029733042041881763
2012-08-22,94146,94314,93882,94114,1048,0.0
2012-08-23,93993,94259,93993,94214,582,0.0010625411734703771
2012-08-24,94287,94576,94287,94539,2424,0.0034495934786762383
2012-08-27,94589,94713,94375,94685,1048,0.0015443361998752625
2012-08-28,94682,94796,94647,94706,512,0.00022178803400740854
2012-08-29,94796,94920,94735,94922,270,0.0022807425083943844
2012-08-30,94850,95052,94850,94944,933,0.00023176924211454342
2012-08-31,94937,95083,94937,95019,301,0.0007899393326593618
2012-09-03,95174,95245,95174,95221,277,0.0021258906113514886
2012-09-04,95218,95298,95164,95169,69,-0.0005460980245953762
2012-09-05,95158,95333,95043,95334,1357,0.0017337578413139099
2012-09-06,95333,95342,95206,95221,2577,-0.0011853063964587518
2012-09-07,95289,95289,94691,94817,999,-0.0042427615757028025
2012-09-10,94823,95090,94823,95093,2263,0.0029108704135334396
2012-09-11,95043,95179,94937,95164,110202,0.0007466375022346927
2012-09-12,95025,95122,95025,95053,160,-0.001166407465007735
2012-09-13,94879,94945,94705,94839,2126,-0.002251375548378287
2012-09-14,94708,94708,94432,94517,1117,-0.0033952277016838783
2012-09-17,94110,94660,94101,94473,225,-0.000465524720420718
2012-09-18,94580,94832,94467,94654,49553,0.0019158913128618504
2012-09-19,94718,94718,94554,94565,472,-0.0009402666553975925
2012-09-20,94589,94894,94589,94895,492,0.0034896631946279566
2012-09-21,94977,95009,94867,94944,213,0.0005163601875757262
2012-09-24,94941,95095,94894,95033,870,0.0009373946747557316
2012-09-25,95025,95161,95025,95129,803,0.0010101754127513907
2012-09-26,95149,95149,94994,95071,1610,-0.00060969840952807
2012-09-27,95125,95338,95060,95063,680,-8.414763702913053e-05
2012-09-28,95118,95390,95118,95393,49,0.003471382136057244
2012-10-02,95390,95658,95262,95661,1715,0.002809430461354623
2012-10-04,95658,95817,95653,95817,723,0.0016307586163639698
2012-10-05,95733,95803,95733,95806,364,-0.00011480217497938927
2012-10-08,95803,95803,95623,95744,120,-0.0006471410976347514
2012-10-09,95710,95794,95653,95744,1072,0.0
2012-10-10,95750,96107,95750,96108,134,0.0038018048128343196
2012-10-11,96246,96353,95983,95999,1219,-0.0011341407583135288
2012-10-12,95988,96058,95851,95854,30411,-0.0015104324003375469
2012-10-15,95851,96063,95851,95943,5050,0.0009284954201180806
2012-10-16,95938,96001,95869,95872,434,-0.0007400227218243849
2012-10-17,95698,95724,95640,95643,129,-0.0023886014686248513
2012-10-18,95547,95579,95378,95410,1128,-0.002436142739144498
2012-10-19,95378,95411,95354,95357,289,-0.0005554973273241837
2012-10-22,95561,95570,95403,95405,270,0.0005033715406315142
2012-10-23,95323,95407,95209,95212,275,-0.0020229547717625085
2012-10-24,95522,95522,95385,95508,240,0.003108851825400105
2012-10-25,95601,95601,95381,95594,264,0.0009004481299996758
