Date,Open,High,Low,Close,Volume,Change
2015-05-04,25164,25267,25122,25208,2783809,0.003183699458771061
2015-05-06,25108,25108,24773,24802,6136602,-0.016105998095842566
2015-05-07,24773,24782,24509,24688,8961700,-0.004596403515845449
2015-05-08,24693,24703,24580,24585,7396077,-0.0041720674011666015
2015-05-11,24736,24815,24622,24627,4650746,0.0017083587553385904
2015-05-12,24604,24656,24528,24613,4239176,-0.0005684817476753201
2015-05-13,24613,24815,24613,24764,3581756,0.006134969325153339
2015-05-14,24722,24815,24675,24797,3285747,0.0013325795509611105
2015-05-15,24891,24961,24542,24552,8188560,-0.009880227446868561
2015-05-18,24599,24608,24467,24609,8130048,0.00232160312805485
2015-05-19,24604,24786,24537,24721,5531626,0.004551180462432525
2015-05-20,24773,24957,24726,24948,3400702,0.009182476437037401
2015-05-21,24898,24938,24646,24665,8745465,-0.011343594676928026
2015-05-22,24740,25004,24721,24986,7939862,0.013014392864382662
2015-05-26,25061,25061,24846,24939,5822231,-0.0018810533898983017
2015-05-27,24805,24815,24381,24439,8578587,-0.020048919363246376
2015-05-28,24509,24594,24428,24434,13302831,-0.0002045910225458858
2015-05-29,24368,24651,24329,24561,5489352,0.005197675370385513
2015-06-01,24480,24480,24175,24340,4786901,-0.008998004967224471
2015-06-02,24310,24401,24038,24107,8142523,-0.009572719802793728
2015-06-03,24129,24190,23862,23887,7287262,-0.009125980005807444
2015-06-04,23948,24136,23872,23977,9656272,0.003767739774772849
2015-06-05,23882,24048,23844,23949,3946319,-0.0011677857947199888
2015-06-08,23914,23938,23794,23901,6451265,-0.0020042590504822932
2015-06-09,23896,23986,23746,23864,3972648,-0.0015480523827454684
2015-06-10,23924,23981,23675,23722,5570572,-0.00595038551793492
2015-06-11,23784,23830,23670,23812,10214709,0.003793946547508531
2015-06-12,23849,23953,23552,23609,5509843,-0.008525113388207606
2015-06-15,23473,23613,23401,23528,7826622,-0.003430894997670353
2015-06-16,23505,23552,23143,23335,7973134,-0.0082029921795308
2015-06-17,23344,23373,23218,23353,10359853,0.0007713734733232336
2015-06-18,23449,23581,23339,23423,9209730,0.0029974735580011735
2015-06-19,23547,23589,23444,23543,4408141,0.00512316953421843
2015-06-22,23613,23722,23534,23622,5931845,0.0033555621628509336
2015-06-23,23746,23961,23690,23939,5572125,0.013419693506053765
2015-06-24,23966,23991,23887,23930,4890241,-0.00037595555369895894
2015-06-25,23849,23956,23806,23911,4698519,-0.0007939824488090164
2015-06-26,23825,23976,23736,23926,4719128,0.0006273263351594949
2015-06-29,23703,23703,23490,23619,7071238,-0.012831229624676088
2015-06-30,23547,23713,23529,23717,4623882,0.004149201913713485
2015-07-01,23690,24000,23633,23986,4828687,0.011342075304633825
2015-07-02,24005,24080,23981,24015,3608635,0.0012090386058534186
2015-07-03,23996,24033,23844,23944,3816427,-0.002956485529877151
2015-07-06,23647,23797,23330,23348,5255514,-0.02489141329769462
2015-07-07,23463,23490,23255,23397,10062052,0.002098680829193178
2015-07-08,23386,23421,23072,23076,7928795,-0.013719707654827551
2015-07-09,22958,23227,22794,23230,12416582,0.006673600277344427
2015-07-10,23298,23321,23148,23250,6785632,0.0008609556607834801
2015-07-13,23246,23572,23190,23500,4212367,0.010752688172043001
2015-07-14,23538,23538,23316,23387,5489700,-0.004808510638297903
2015-07-15,23468,23665,23359,23458,5596479,0.0030358746312053597
2015-07-16,23416,23628,23416,23632,4770766,0.007417512149373362
2015-07-17,23731,23765,23426,23490,4648482,-0.00600880162491535
2015-07-20,23482,23594,23378,23453,3845662,-0.0015751383567476074
2015-07-21,23453,23628,23373,23500,3916775,0.002004008016031955
2015-07-22,23368,23430,23213,23297,5803394,-0.008638297872340384
2015-07-23,23326,23344,23180,23287,9004442,-0.0004292398162853983
2015-07-24,23167,23190,22976,23024,4917797,-0.011293854940524706
2015-07-27,22915,23110,22883,23067,10715813,0.0018676164002779938
2015-07-28,22996,23138,22901,23108,4750193,0.001777430961980242
2015-07-29,23190,23232,23106,23202,4474796,0.004067855288211852
2015-07-30,23208,23246,22985,22992,4915220,-0.009050943884147955
2015-07-31,22991,23029,22804,22922,10212211,-0.003044537230341038
2015-08-03,22954,22954,22737,22797,11062680,-0.005453276328418077
2015-08-04,22784,22901,22779,22897,6971590,0.004386542088871348
2015-08-05,22879,22986,22823,22912,4792411,0.0006551076560248337
2015-08-06,22949,22962,22651,22657,5957038,-0.011129539106145225
2015-08-07,22572,22646,22505,22615,9808480,-0.0018537317385355356
2015-08-10,22553,22592,22459,22553,6752931,-0.0027415432235241566
2015-08-11,22675,22818,22449,22454,7190014,-0.004389659912206856
2015-08-12,22388,22505,22167,22316,9088377,-0.006145898280929929
2015-08-13,22283,22438,22236,22415,8950719,0.004436278903029223
2015-08-17,22474,22474,22218,22236,5524828,-0.007985723845639114
2015-08-18,22280,22332,22185,22198,7890443,-0.0017089404569167188
2015-08-19,22167,22223,21950,22030,10214109,-0.00756824939183709
2015-08-20,21997,22018,21799,21803,9760693,-0.010304130730821592
2015-08-21,21362,21535,21309,21463,14811919,-0.015594184286566115
2015-08-24,21251,21352,20474,20963,20996907,-0.02329590457997488
2015-08-25,20988,21243,20577,21034,23559183,0.0033869198110958454
2015-08-26,20912,21475,20804,21429,15344928,0.018779119520775822
2015-08-27,21557,21676,21446,21558,11883626,0.006019879602408018
2015-08-28,21737,21864,21714,21869,11204663,0.014426199090824765
2015-08-31,21784,21841,21671,21840,6960587,-0.0013260780099684233
2015-09-01,21799,21873,21609,21625,6408506,-0.00984432234432231
2015-09-02,21393,21779,21389,21672,4226323,0.0021734104046242653
2015-09-03,21761,21822,21658,21713,4994394,0.0018918420081210918
2015-09-04,21728,21771,21460,21529,5796693,-0.008474185971537818
2015-09-07,21480,21639,21408,21477,5995186,-0.002415346741604374
2015-09-08,21525,21557,21389,21520,4782918,0.0020021418261395585
2015-09-09,21732,22162,21723,22165,7019408,0.029972118959107785
2015-09-10,22018,22266,21955,22128,16119662,-0.0016692984434919511
2015-09-11,22124,22251,22038,22072,5706526,-0.0025307302964570066
2015-09-14,22138,22147,21832,21949,7245411,-0.005572671257702111
2015-09-15,21950,22058,21916,22001,6282845,0.0023691284340972008
2015-09-16,22143,22624,22143,22481,9129951,0.021817190127721542
2015-09-17,22708,22727,22553,22576,13153513,0.004225790667675033
2015-09-18,22520,22799,22322,22741,7790701,0.007308646350106418
2015-09-21,22474,22535,22261,22340,7700570,-0.01763334945692796
2015-09-22,22408,22510,22317,22463,6244410,0.005505819158460268
2015-09-23,22213,22384,22124,22165,6130350,-0.013266260072118619
2015-09-24,22232,22266,22090,22170,6535092,0.00022558087074209254
2015-09-25,22129,22218,21982,22138,7066136,-0.0014433919711321908
2015-09-30,21808,22322,21784,22293,6054689,0.007001535820760685
2015-10-01,22276,22660,22218,22538,6554342,0.010989996860000906
2015-10-02,22510,22557,22365,22392,7608128,-0.006477948353891261
2015-10-05,22478,22698,22378,22415,5584478,0.0010271525544838234
2015-10-06,22665,22737,22596,22629,6031053,0.009547178228864528
2015-10-07,22675,22976,22675,22974,7295329,0.015245923372663395
2015-10-08,23063,23148,22962,23137,12072168,0.007094976930443142
2015-10-12,23214,23387,23162,23274,9479695,0.005921251674806616
2015-10-13,23251,23340,23143,23216,7919591,-0.002492051215949087
2015-10-14,23175,23190,23001,23132,4957550,-0.0036181943487250123
2015-10-15,23124,23486,23110,23392,6054719,0.011239840913020993
2015-10-16,23440,23449,23299,23348,6991819,-0.0018809849521204125
2015-10-19,23407,23440,23251,23357,5332612,0.00038547198903549074
2015-10-20,23336,23454,23299,23410,3372163,0.0022691270282999554
2015-10-21,23397,23671,23397,23505,8376375,0.004058094831268733
2015-10-22,23435,23506,23327,23377,8887869,-0.005445649861731572
2015-10-23,23609,23732,23516,23557,7881236,0.007699875946443058
2015-10-26,23671,23671,23568,23614,5380822,0.002419662945196688
2015-10-27,23577,23634,23474,23604,3190399,-0.00042347759803507135
